grupos2,grupos,sin_agua,capacidad,densidad,grado_con,frecuencia,volumen,frec_cat,prec_cat,vol_cat,is50,precip,id
6,3,124,4038173.699,31.099,4,21,13.5065,2,2,2,0.01587,612.625,179
6,3,86,37660978.0,385.837,0,5,10.5075,2,2,2,0.0041,609.5417,180
6,3,66,1063404.0,11.198,0,13,16.349,2,2,2,0.0105,610.375,181
6,3,99,194155.203,1.795,0,13,16.349,2,2,2,0.0105,608.1875,182
6,3,77,20726544.11,27.465,10,5,7.21,2,2,2,0.00371,629.9766,183
6,3,58,34149812.0,63.531,4,12,126.3365,2,2,4,0.02288,612.2964,184
2,2,79,18067220.0,49.885,5,1,15.0,1,2,2,0.00178,612.3512,185
2,2,85,26639683.0,164.644,1,4,0.0125,1,2,1,0.00214,605.375,186
2,2,108,21403530.0,149.141,0,4,74.3781,1,2,4,0.01099,603.3333,187
2,2,71,5627327.0,28.397,0,4,74.3781,1,2,4,0.01099,603.4432,188
2,2,147,16687846.0,61.614,1,3,1.5083,1,2,1,0.0016,604.1042,189
10,3,112,8572655.0,47.2,4,64,133.1283,3,2,4,0.06078,601.8846,190
11,4,431,4350930.0,11.919,0,63,86.4438,3,3,4,0.05451,720.8516,191
7,3,141,0.0,0.0,0,13,208.2721,2,3,4,0.03335,698.75,192
7,3,84,0.0,0.0,0,14,107.5054,2,3,4,0.02207,705.6667,193
7,3,65,460664.0,5.117,1,14,107.5054,2,3,4,0.02207,688.2083,194
7,3,56,5853010.0,38.266,3,19,55.1349,2,3,3,0.0194,682.25,195
3,2,84,752177.0,10.603,0,1,0.0125,1,3,1,0.0,682.25,196
3,2,102,0.0,0.0,0,1,0.0125,1,3,1,0.0,678.85,197
3,2,50,716098.102,2.208,0,1,0.0125,1,3,1,0.0,671.8421,198
11,4,294,696805.0,1.983,3,60,46.8088,3,3,3,0.04765,656.5598,199
7,3,113,5868170.0,19.391,3,14,37.9366,2,3,3,0.01379,661.0724,200
2,2,191,23729700.0,66.31,6,2,0.0125,1,2,1,0.00071,622.125,201
2,2,100,17206500.0,52.312,4,1,0.0125,1,2,1,0.0,618.7438,202
2,2,54,19481200.0,173.393,1,1,0.0125,1,2,1,0.0,615.9,203
2,2,136,38329931.0,81.512,4,1,0.0125,1,2,1,0.0,626.7333,204
2,2,34,5782957.0,24.712,3,3,8.0083,1,2,2,0.00238,629.6979,205
2,2,3,1094950.0,17.366,1,2,0.0125,1,2,1,0.00071,627.125,206
6,3,128,26349.5,0.165,2,8,9.0063,2,2,2,0.00606,622.0833,207
6,3,37,25609795.3,129.261,0,8,9.0063,2,2,2,0.00606,619.6771,208
6,3,196,22588895.0,131.605,3,8,6.8188,2,2,2,0.0058,607.8594,209
7,3,133,793394.0,5.548,0,5,360.5075,2,3,4,0.04577,697.0893,210
4,3,153,1420470.0,7.399,0,3,30.0083,1,4,3,0.005,1003.55,211
8,4,362,32625460.46,20.369,6,16,31.5086,2,4,3,0.01445,994.5421,212
4,3,314,10141917.0,35.674,10,3,0.0125,1,4,1,0.00143,1013.8472,213
8,4,64,0.0,0.0,0,13,40.5337,2,4,3,0.01338,1024.625,214
8,4,227,1351457.0,1.71,1,15,6.0117,2,4,1,0.0107,1052.7985,215
4,3,44,32202200.0,43.803,1,1,0.0125,1,4,1,0.0,1040.9894,216
8,4,87,555703.0,0.495,1,7,0.0125,2,4,1,0.00428,1073.7825,217
8,4,67,5090560.0,4.559,3,7,0.0125,2,4,1,0.00428,1064.7462,218
8,4,334,4925224.0,4.934,0,7,0.0125,2,4,1,0.00428,1068.3352,219
8,4,798,15725010.0,6.789,12,7,53.5821,2,4,3,0.01066,955.5927,220
4,3,171,21343804.0,22.426,0,1,36.0,1,4,3,0.00428,950.4667,221
8,4,690,102213747.5,64.611,12,16,31.5086,2,4,3,0.01445,948.8958,222
8,4,256,6402148.4,7.182,3,15,6.0117,2,4,1,0.0107,1036.0848,223
4,3,121,32518155.0,83.278,3,3,4.0083,1,4,1,0.0019,1046.8413,224
8,4,726,15186584.0,10.886,4,8,1.1359,2,4,1,0.00513,1037.9059,225
4,3,252,2900280.0,2.325,2,1,14.0,1,4,2,0.00167,1061.6316,226
8,4,123,0.0,0.0,0,5,0.0125,2,4,1,0.00285,1036.3895,227
8,4,54,0.0,0.0,0,13,40.5337,2,4,3,0.01338,1029.8158,228
8,4,60,2399650.0,21.574,2,11,190.9193,2,4,4,0.02986,1020.7813,229
8,4,674,66924130.0,21.09,9,7,206.7875,2,4,4,0.0289,1018.9143,230
8,4,1577,12947021.3,5.107,10,7,0.0125,2,4,1,0.00428,1026.5939,231
8,4,49,1209470.0,12.299,1,8,1.1359,2,4,1,0.00513,1055.6094,232
4,3,421,9543740.0,9.848,9,2,34.5,1,4,3,0.00482,992.1271,233
4,3,626,1292830.0,0.391,1,3,0.0125,1,4,1,0.00143,1093.8672,234
3,2,29,0.0,0.0,0,4,0.0125,1,3,1,0.00214,669.2404,235
3,2,34,0.0,0.0,0,2,0.0125,1,3,1,0.00071,670.5395,236
7,3,90,9065840.0,16.349,5,16,154.6914,2,3,4,0.02911,667.8142,237
11,4,21,0.0,0.0,2,35,332.1825,3,3,4,0.0638,665.6731,238
11,4,152,0.0,0.0,0,59,208.6426,3,3,4,0.06621,666.0726,239
11,4,19,381705.0,1.95,0,35,332.1825,3,3,4,0.0638,663.6477,240
11,4,23,149706.398,0.653,0,35,332.1825,3,3,4,0.0638,661.5625,241
11,4,12552,2811764.0,5.464,1,35,332.1825,3,3,4,0.0638,661.6625,242
15,5,68,2680997.297,11.797,2,146,250.5009,4,3,4,0.13324,656.5,243
15,5,29,2621621.0,13.952,5,146,250.5009,4,3,4,0.13324,653.9423,244
15,5,50,0.0,0.0,0,146,250.5009,4,3,4,0.13324,653.8026,245
7,3,59,2563110.0,11.046,0,16,12.6344,2,3,2,0.0122,652.4531,246
15,5,41,0.0,0.0,0,146,250.5009,4,3,4,0.13324,651.375,247
3,2,337,3730640.0,14.207,0,3,48.0042,1,3,3,0.00714,646.425,248
3,2,48,1730170.0,8.372,0,2,0.0125,1,3,1,0.00071,641.0583,249
6,3,71,55329440.0,280.861,3,11,32.0534,2,2,3,0.01095,636.6528,250
15,5,98,65249893.7,400.915,6,75,380.6483,4,3,4,0.0981,643.1719,251
15,5,127,1261420.0,14.516,1,75,380.6483,4,3,4,0.0981,640.0179,252
14,4,110,1411980.0,16.274,0,75,380.6483,4,2,4,0.0981,638.125,253
14,4,109,695934.0,5.941,1,75,380.6483,4,2,4,0.0981,633.375,254
6,3,102,2008740.0,14.686,0,12,46.7563,2,2,3,0.01341,632.6477,255
6,3,6,7669570.0,63.558,0,11,32.0534,2,2,3,0.01095,631.1458,256
6,3,53,78018704.0,252.922,0,11,32.0534,2,2,3,0.01095,629.7976,257
6,3,60,0.0,0.0,0,6,52.0083,2,2,3,0.00976,620.0,258
11,4,365,7239770.0,17.96,3,29,14.4474,3,3,2,0.02169,649.712,259
3,2,97,2231100.0,5.915,3,4,33.7594,1,3,3,0.00616,646.1087,260
3,2,184,65857940.0,202.452,0,3,12.0083,1,3,2,0.00285,641.35,261
6,3,163,60169010.0,111.783,6,10,473.6013,2,2,4,0.0628,634.6439,262
6,3,295,49066808.6,185.367,3,18,43.841,2,2,3,0.01734,635.9671,263
6,3,41,26342209.0,49.957,8,12,7.2594,2,2,2,0.00871,620.6207,264
11,4,131,18111140.0,83.892,0,29,14.4474,3,3,2,0.02169,645.0469,265
15,5,115,10986090.0,45.103,0,100,187.2644,4,3,4,0.09291,640.5893,266
14,4,285,118965240.0,524.514,0,100,187.2644,4,2,4,0.09291,635.4196,267
14,4,127,33343650.0,155.287,0,100,187.2644,4,2,4,0.09291,631.3571,268
6,3,199,14824564.9,58.145,12,9,105.3389,2,2,4,0.01825,635.0147,269
2,2,62,13555500.0,128.229,0,4,75.0094,1,2,4,0.01107,627.3611,270
2,2,450,86328620.0,593.507,4,4,75.0094,1,2,4,0.01107,624.0,271
6,3,11,85195595.0,340.718,0,5,5.035,2,2,1,0.00345,622.3125,272
2,2,32,5141120.0,23.835,0,2,0.0125,1,2,1,0.00071,615.5,273
2,2,155,0.0,0.0,0,2,0.0125,1,2,1,0.00071,614.2917,274
10,3,55,4784981.9,19.999,3,40,94.3069,3,2,4,0.03904,604.825,275
6,3,87,0.0,0.0,0,14,98.867,2,2,4,0.02104,601.9896,276
10,3,46,6112937.0,31.46,1,40,94.3069,3,2,4,0.03904,604.4583,277
2,2,46,0.0,0.0,0,1,96.0,1,2,4,0.01143,606.375,278
2,2,57,3062006.102,59.611,0,1,96.0,1,2,4,0.01143,605.375,279
10,3,40,520297.201,2.44,2,40,94.3069,3,2,4,0.03904,602.5417,280
2,2,28,792549.0,3.943,0,4,4.5063,1,2,1,0.00267,591.6833,281
2,2,60,3560846.6,15.982,3,4,4.5063,1,2,1,0.00267,586.4667,282
14,4,126,6265860.0,18.974,6,133,271.2458,4,2,4,0.12644,572.5298,283
10,3,77,50053013.5,151.927,7,60,17.3954,3,2,2,0.04415,605.8563,284
10,3,149,5305010.0,13.656,0,60,17.3954,3,2,2,0.04415,605.3077,285
10,3,108,6944010.0,25.545,3,60,17.3954,3,2,2,0.04415,602.5735,286
10,3,12,380151.0,0.916,0,40,94.3069,3,2,4,0.03904,600.4471,287
10,3,79,8270570.0,31.667,3,61,22.5668,3,2,3,0.04548,599.25,288
10,3,24,8771900.0,38.353,0,61,22.5668,3,2,3,0.04548,597.8929,289
10,3,4,49426492.0,190.081,2,61,22.5668,3,2,3,0.04548,595.8088,290
10,3,14,57310553.0,444.241,3,61,22.5668,3,2,3,0.04548,593.7917,291
2,2,102,171098536.0,136.082,0,1,0.0125,1,2,1,0.0,591.2997,292
6,3,80,0.0,0.0,0,12,36.0417,2,2,3,0.01214,584.8523,293
10,3,81,6691790.0,40.133,0,68,61.2735,3,2,3,0.05508,580.0417,294
6,3,78,7751182.0,32.999,0,13,0.5192,2,2,1,0.00862,579.1333,295
14,4,306,16963480.0,43.856,5,133,271.2458,4,2,4,0.12644,572.375,296
13,3,86,188295322.0,687.956,5,143,87.5248,4,1,4,0.1117,565.5461,297
13,3,153,20257956.0,85.951,2,143,87.5248,4,1,4,0.1117,560.2054,298
6,3,61,2013260.0,22.95,0,5,5.035,2,2,1,0.00345,624.3214,299
6,3,21,10046282.0,26.466,4,5,5.035,2,2,1,0.00345,624.9635,300
6,3,25,0.0,0.0,0,5,5.035,2,2,1,0.00345,621.9688,301
6,3,34,3560520.0,40.006,0,5,5.035,2,2,1,0.00345,620.125,302
6,3,24,0.0,0.0,0,5,5.035,2,2,1,0.00345,620.7188,303
6,3,83,155861592.0,631.277,5,8,0.8219,2,2,1,0.00509,617.6917,304
10,3,35,983939.0,4.252,1,60,17.3954,3,2,2,0.04415,611.2969,305
10,3,50,2471302.0,8.625,3,60,17.3954,3,2,2,0.04415,609.6938,306
10,3,78,15884285.5,50.983,3,60,17.3954,3,2,2,0.04415,605.1691,307
10,3,19,5825110.0,31.085,0,61,22.5668,3,2,3,0.04548,596.9545,308
6,3,103,168017.0,1.115,0,12,36.0417,2,2,3,0.01214,586.1719,309
10,3,149,2678450.0,9.742,1,55,11.1745,3,2,2,0.03985,581.3333,310
14,4,195,4578280.0,13.34,1,133,271.2458,4,2,4,0.12644,573.3618,311
9,2,82,155421126.0,513.464,7,32,1057.7824,3,1,4,0.14804,566.2868,312
13,3,250,4898807.199,18.25,1,143,87.5248,4,1,4,0.1117,561.3676,313
13,3,109,302479.0,1.85,1,143,87.5248,4,1,4,0.1117,555.6375,314
6,3,49,0.0,0.0,2,5,5.035,2,2,1,0.00345,621.4531,315
6,3,0,76891330.0,273.035,0,17,7.5834,2,2,2,0.01231,624.7734,316
6,3,68,170916220.0,644.318,1,8,0.8219,2,2,1,0.00509,619.0724,317
10,3,30,794336.0,3.722,0,60,17.3954,3,2,2,0.04415,613.9659,318
2,2,60,32076300.0,136.231,0,2,31.5,1,2,3,0.00446,617.5781,319
10,3,27,21207200.0,83.141,0,60,17.3954,3,2,2,0.04415,609.425,320
10,3,129,13836670.8,51.751,2,49,26.4625,3,2,3,0.03739,602.9931,321
14,4,135,0.0,0.0,0,78,3.4546,4,2,1,0.05533,595.15,322
14,4,67,0.0,0.0,0,78,3.4546,4,2,1,0.05533,591.5909,323
