Grupo,Cat_Ench,Cat_Precip,Frecuencia,Volumen,Precipitac,Ingreso,Rezago,Población,Capacidad,Densidad,Conectivid,Severida50,Severida90,Severida75,id
12,3,4,66,26.16288,754.02083,0.84,3,1472,9264947.0,56.22343,,0.04948,0.01488,0.02785,154
7,2,3,10,45.0075,700.23077,0.83,3,3027,16126280.4,72.95535,,0.01178,0.01093,0.01124,155
12,3,4,66,26.16288,744.625,0.83,3,1102,10413670.0,98.76803,4.0,0.04948,0.01488,0.02785,156
7,2,3,7,4.58214,699.27083,0.77,3,2475,7117740.0,76.22056,,0.00482,0.00184,0.00296,157
16,4,4,155,8.62153,740.56944,0.82,3,1683,25232750.0,163.78652,2.0,0.11087,0.02381,0.05646,158
7,2,3,10,45.0075,707.125,0.78,3,1259,,,,0.01178,0.01093,0.01124,159
16,4,4,155,8.62153,733.82292,0.79,3,3076,21537190.0,92.4854,,0.11087,0.02381,0.05646,160
7,2,3,8,6.57188,708.08696,0.68,3,6765,10195081.6,30.81456,10.0,0.00577,0.0024,0.00367,161
16,4,4,155,8.62153,725.93056,0.77,3,2546,18824589.0,138.32315,4.0,0.11087,0.02381,0.05646,162
3,1,3,1,0.0125,719.33333,0.73,3,1649,3581779.9,46.23801,,0.0,0.0,0.0,163
15,4,3,155,8.62153,717.04808,0.76,3,2583,8611663.27,50.5947,4.0,0.11087,0.02381,0.05646,164
7,2,3,7,108.43571,711.79464,0.74,3,5099,30449916.3,45.09371,13.0,0.01719,0.02409,0.0215,165
11,3,3,27,19.19769,700.4375,0.61,3,5041,48673700.0,231.16525,,0.02083,0.00782,0.0127,166
8,2,4,18,126.44931,749.92105,0.63,3,7376,3560300.0,10.54278,7.0,0.02718,0.02952,0.02864,167
11,3,3,38,19.31678,685.95833,0.73,3,5556,7168989.3,18.52423,3.0,0.02869,0.00941,0.01664,168
8,2,4,16,99.38516,745.01974,0.61,3,6282,5762217.0,18.19638,8.0,0.02253,0.02343,0.02309,169
7,2,3,11,4.87273,673.74219,0.75,3,2904,22867993.0,84.05458,4.0,0.00771,0.00247,0.00443,170
11,3,3,49,10.12423,686.86719,0.86,3,2835,10034680.0,47.10367,,0.03544,0.00901,0.01892,171
7,2,3,11,4.87273,667.05357,0.7,3,3656,9974610.0,58.18859,2.0,0.00771,0.00247,0.00443,172
3,1,3,2,9.00625,684.875,0.69,3,1814,,,,0.00178,0.00207,0.00196,173
7,2,3,11,4.87273,662.59722,0.7,3,3512,,,,0.00771,0.00247,0.00443,174
8,2,4,15,8.0425,727.03261,0.0,0,0,24249456.7,66.42358,6.0,0.01094,0.00372,0.00643,175
15,4,3,198,10.01578,703.65625,0.69,3,3036,135068476.0,478.51476,5.0,0.1417,0.03025,0.07204,176
15,4,3,198,10.01578,706.39583,0.72,3,2952,118904834.0,935.56314,1.0,0.1417,0.03025,0.07204,177
4,1,4,3,0.0125,729.76875,0.75,3,6809,2023938.1,7.39154,7.0,0.00143,0.00029,0.00071,178
3,1,3,2,45.00625,672.1875,0.77,3,2880,,,,0.00607,0.00978,0.00839,179
8,2,4,7,5.15357,749.11538,0.0,3,7302,20538408.6,54.34998,1.0,0.00489,0.00196,0.00306,180
3,1,3,2,45.00625,673.77083,0.79,3,1083,30177235.4,410.03221,,0.00607,0.00978,0.00839,181
12,3,4,39,21.23237,728.83929,0.72,3,4764,67049974.0,185.43319,9.0,0.02963,0.00997,0.01734,182
3,1,3,2,175.0,652.08929,0.63,3,1633,106077214.0,542.69089,1.0,0.02155,0.03764,0.0316,183
11,3,3,39,21.23237,716.85294,0.8,3,4099,848584.0,2.94362,5.0,0.02963,0.00997,0.01734,184
10,3,2,39,28.86763,638.67976,0.48,2,401,38161731.0,22.71144,4.0,0.03054,0.0116,0.0187,185
7,2,3,15,8.27667,704.35938,0.77,3,1718,9986861.0,70.31919,6.0,0.01097,0.00377,0.00647,186
15,4,3,70,107.04161,693.53571,0.85,3,1714,5207860.0,72.13212,7.0,0.06196,0.03278,0.04372,187
7,2,3,17,64.12206,709.53963,0.85,3,131,11587810.0,17.5055,4.0,0.01904,0.01602,0.01715,188
3,1,3,3,8.00833,695.5,0.82,3,1477,5004346.0,102.83257,2.0,0.00238,0.002,0.00214,189
12,3,4,35,23.22321,734.55682,0.9,3,1622,66358269.7,95.49668,7.0,0.02701,0.00982,0.01627,190
11,3,3,35,23.22321,724.73333,0.86,3,1655,16880621.5,64.79591,,0.02701,0.00982,0.01627,191
8,2,4,14,57.4,776.28846,0.66,3,4736,5483028.0,26.25994,2.0,0.0161,0.01415,0.01488,192
11,3,3,35,23.22321,717.71875,0.88,3,1329,23010270.0,77.77457,,0.02701,0.00982,0.01627,193
4,1,4,2,0.0125,768.17188,0.68,3,4873,13458078.2,50.14821,,0.00071,0.00014,0.00036,194
11,3,3,35,23.22321,707.765,0.87,3,3756,67559365.0,147.91546,3.0,0.02701,0.00982,0.01627,195
8,2,4,17,12.04412,754.46875,0.71,2,4839,2039942.7,9.89132,3.0,0.01284,0.00486,0.00785,196
11,3,3,35,23.22321,696.98333,0.87,3,4008,630845.0,1.3355,1.0,0.02701,0.00982,0.01627,197
12,3,4,55,91.37273,755.8,0.69,3,5683,2627360.0,12.36587,,0.04939,0.02728,0.03557,198
12,3,4,55,91.37273,743.67188,0.7,3,3405,4194220.0,15.7765,,0.04939,0.02728,0.03557,199
12,3,4,55,91.37273,738.775,0.73,3,4618,2365494.0,10.4031,,0.04939,0.02728,0.03557,200
11,3,3,38,32.90329,661.23125,0.94,3,2262,265678196.0,962.28216,22.0,0.03031,0.01233,0.01907,201
12,3,4,39,21.23237,739.285,0.73,3,7181,54568598.0,136.71203,4.0,0.02963,0.00997,0.01734,202
7,2,3,16,9.95937,657.09868,0.88,3,3411,718077932.0,2317.12149,,0.01188,0.00427,0.00713,203
12,3,4,39,21.23237,733.37083,0.79,3,8376,127854537.0,312.78779,2.0,0.02963,0.00997,0.01734,204
7,2,3,16,9.95937,648.80682,0.83,3,7058,74551700.0,151.42692,,0.01188,0.00427,0.00713,205
11,3,3,39,21.23237,723.46875,0.0,0,62,,,,0.02963,0.00997,0.01734,206
8,2,4,7,6.32857,739.625,0.9,3,1383,31270140.0,81.99767,,0.00503,0.00221,0.00327,207
7,2,3,12,33.68229,716.26389,0.82,3,1353,828167.0,5.6549,4.0,0.01185,0.00878,0.00994,208
8,2,4,7,6.32857,728.26923,0.9,3,1822,6850585.0,17.77762,2.0,0.00503,0.00221,0.00327,209
11,3,3,42,29.34167,714.46711,0.71,3,7871,8931294.39,27.42482,3.0,0.03274,0.01213,0.01986,210
7,2,3,7,6.32857,718.96354,0.85,3,2645,5183080.0,12.53833,,0.00503,0.00221,0.00327,211
3,1,3,3,4.00833,709.975,0.88,3,2385,8668445.0,22.77622,,0.0019,0.00114,0.00143,212
4,1,4,1,0.0125,787.63542,0.65,3,9544,4529690.0,11.77994,1.0,0.0,0.0,0.0,213
7,2,3,14,15.00804,672.67308,0.86,3,2850,58316684.9,89.34172,10.0,0.01106,0.00507,0.00731,214
8,2,4,21,3.89048,770.79167,0.66,3,8420,475816.0,1.84188,2.0,0.01473,0.00368,0.00783,215
11,3,3,38,32.90329,659.99038,0.95,3,2085,4861124.08,20.83734,3.0,0.03031,0.01233,0.01907,216
11,3,3,38,32.90329,654.27083,0.89,3,3205,1686060.0,6.43933,,0.03031,0.01233,0.01907,217
16,4,4,108,14.12697,734.42647,0.7,3,6486,847055.489,2.76469,2.0,0.078,0.01829,0.04068,218
11,3,3,38,32.90329,652.38816,0.87,3,1615,1507804.0,4.89836,7.0,0.03031,0.01233,0.01907,219
16,4,4,108,14.12697,725.44643,0.76,3,9024,10692554.2,37.02336,4.0,0.078,0.01829,0.04068,220
7,2,3,13,1.23173,644.94079,0.88,3,5729,236390904.0,648.32732,15.0,0.0087,0.00197,0.0045,221
12,3,4,43,61.93756,816.08929,0.0,0,0,,,1.0,0.03733,0.01926,0.02604,222
7,2,3,13,1.23173,642.70833,0.91,3,6275,779319400.0,2168.39987,11.0,0.0087,0.00197,0.0045,223
8,2,4,11,21.10795,809.0,0.83,3,1953,12825389.0,159.06197,,0.00964,0.00595,0.00733,224
8,2,4,11,21.10795,816.1625,0.84,3,2080,41057600.0,358.75324,,0.00964,0.00595,0.00733,225
8,2,4,11,21.10795,810.375,0.84,3,984,10265000.0,161.61082,2.0,0.00964,0.00595,0.00733,226
8,2,4,17,50.59265,740.30682,0.87,3,783,,,,0.01743,0.01312,0.01474,227
4,1,4,3,24.00417,806.13333,0.78,3,1027,73105398.0,291.22869,6.0,0.00428,0.00543,0.005,228
8,2,4,7,104.86429,793.55357,0.62,3,3276,21804040.0,146.60344,2.0,0.01676,0.02332,0.02086,229
12,3,4,44,47.31307,730.04167,0.9,3,3468,3997241.0,8.57229,4.0,0.0363,0.01627,0.02378,230
8,2,4,21,3.89048,778.09722,0.59,3,5503,,,,0.01473,0.00368,0.00783,231
3,1,3,3,0.0125,705.30592,0.79,3,8323,3011660.0,4.63886,,0.00143,0.00029,0.00071,232
8,2,4,8,3.38594,781.08333,0.6,3,4590,1586880.0,15.02082,,0.00539,0.00172,0.0031,233
3,1,3,1,0.0125,683.16146,0.83,3,4092,6068628.1,17.35227,7.0,0.0,0.0,0.0,234
4,1,4,1,0.0125,758.07292,0.7,3,10936,13186959.0,31.52414,,0.0,0.0,0.0,235
7,2,3,9,13.22639,673.46528,0.84,3,1606,57461726.0,185.40335,4.0,0.00728,0.00397,0.00521,236
12,3,4,57,56.65702,823.61765,0.9,3,1635,3509260.0,11.76369,2.0,0.04669,0.02013,0.03009,237
11,3,3,38,32.90329,662.47115,0.88,3,2718,38221990.0,159.54728,5.0,0.03031,0.01233,0.01907,238
4,1,4,3,116.00417,819.80357,0.83,3,2552,26201520.0,225.55891,,0.01524,0.02514,0.02143,239
4,1,4,3,116.00417,813.625,0.82,3,1716,34793100.0,500.58831,,0.01524,0.02514,0.02143,240
7,2,3,13,1.23173,639.4837,0.89,3,3548,13979347.3,37.26844,7.0,0.0087,0.00197,0.0045,241
