POB_S_AGUA,AREA_GEO,CAPACITY_W,DENSITY_WE,TOTAL_DEGR,WEGHITED_T,WEIGHTED_B,WEIGHTED_1,Frecuencia,Volumen,FrecCateg,PrecCateg,VolCateg,ProbaFP,ProbaVP,NormaFrec,NormaVol,IS50,IS90,IS75,Grupos,Grupos2,Precipitac,id
32,50007.11101,0.0,0.0,0,0.0,0.0,0.0,39,35.20032051,3,4,3,0.210116732,0.229571984,0.054208274,0.008378077,0.031293176,0.012961097,0.019835627,5,12,790.125,90
17,166744.1215,0.0,0.0,0,0.0,0.0,0.0,39,35.20032051,3,4,3,0.210116732,0.229571984,0.054208274,0.008378077,0.031293176,0.012961097,0.019835627,5,12,785.0833333,91
53,34263.60242,0.0,0.0,0,0.0,0.0,0.0,39,35.20032051,3,4,3,0.210116732,0.229571984,0.054208274,0.008378077,0.031293176,0.012961097,0.019835627,5,12,792.1875,92
12,59345.55374,58484132.0,985.4846456,4,0.020145434,0.000257202,2.32e-05,33,26.39878788,3,4,3,0.210116732,0.229571984,0.045649073,0.006282468,0.02596577,0.010219129,0.016124119,5,12,781.1,93
13,124963.0568,39591729.0,316.827469,1,0.005826424,0.0,0.0,33,26.39878788,3,4,3,0.210116732,0.229571984,0.045649073,0.006282468,0.02596577,0.010219129,0.016124119,5,12,778.2708333,94
109,228371.7245,1181757.0,5.174708044,0,0.0,0.0,0.0,5,0.0125,2,4,1,0.340466926,0.321011673,0.005706134,0.0,0.002853067,0.000570613,0.001426534,4,8,935.5441176,95
39,125741.0921,0.0,0.0,0,0.0,0.0,0.0,3,0.0125,1,4,1,0.30155642,0.321011673,0.002853067,0.0,0.001426534,0.000285307,0.000713267,3,4,872.5208333,96
73,116676.3167,0.0,0.0,0,0.0,0.0,0.0,1,0.0125,1,4,1,0.30155642,0.321011673,0.0,0.0,0.0,0.0,0.0,3,4,861.7291667,97
258,321103.2327,63430.39844,0.197538959,3,0.002752813,0.0867627,0.0,4,0.0125,1,4,1,0.30155642,0.321011673,0.004279601,0.0,0.0021398,0.00042796,0.0010699,3,4,826.3,98
73,518436.1571,39477640.0,76.14754383,3,0.017215929,0.72539448,4.51e-06,33,26.39878788,3,4,3,0.210116732,0.229571984,0.045649073,0.006282468,0.02596577,0.010219129,0.016124119,5,12,795.4330357,99
4,127351.0004,1585707.0,12.45146873,1,0.001649221,0.0763889,8.64e-05,3,20.00833333,1,4,2,0.30155642,0.215953307,0.002853067,0.004760927,0.003806997,0.004570141,0.004283962,3,4,805.4285714,100
48,265549.3213,7522421.203,28.32777416,3,0.015759294,0.0,0.0,15,43.81,2,4,3,0.340466926,0.229571984,0.019971469,0.010428007,0.015199738,0.011382353,0.012813873,4,8,796.9338235,101
91,472850.7996,5377930.0,11.37341843,0,0.0,0.0,0.0,15,43.81,2,4,3,0.340466926,0.229571984,0.019971469,0.010428007,0.015199738,0.011382353,0.012813873,4,8,788.1666667,102
15,363674.648,66186885.0,181.994773,6,0.041546036,0.02769207,0.000101186,21,13.97202381,2,4,2,0.340466926,0.215953307,0.02853067,0.003323706,0.015927188,0.005844402,0.009625447,4,8,778.865,103
33,456325.0272,28793972.0,63.0996993,6,0.037278217,0.02306238,0.000398298,16,101.3992188,2,4,4,0.340466926,0.233463035,0.021398003,0.024139767,0.022768885,0.02386559,0.023454326,4,8,768.2259615,104
96,519474.7999,11019467.6,21.21270869,8,0.044861574,0.01971878,1.07e-05,9,30.06388889,2,4,3,0.340466926,0.229571984,0.011412268,0.007155114,0.009283691,0.007580829,0.008219402,4,8,756.4765625,105
104,471143.0881,62198361.24,132.0158627,9,0.034734044,0.3259603,0.000171651,2,1.00625,1,4,1,0.30155642,0.321011673,0.001426534,0.000236608,0.000831571,0.0003556,0.000534089,3,4,748.4545455,106
61,265995.1664,8421040.0,31.6586204,2,0.027650145,0.0,0.0,3,20.00833333,1,4,2,0.30155642,0.215953307,0.002853067,0.004760927,0.003806997,0.004570141,0.004283962,3,4,795.275,107
191,378834.0189,29640316.0,78.24090372,4,0.029748699,0.006515778,0.002516109,10,43.3525,2,4,3,0.340466926,0.229571984,0.012838802,0.010319078,0.01157894,0.010571051,0.010949009,4,8,786.3,108
264,689298.1137,136459896.0,197.9693449,5,0.015863531,0.0192044,3.87e-06,3,0.0125,1,4,1,0.30155642,0.321011673,0.002853067,0.0,0.001426534,0.000285307,0.000713267,3,4,772.1219512,109
63,471944.7983,33938130.0,71.91122802,3,0.025391135,0.04929695,1.42e-05,16,101.3992188,2,4,4,0.340466926,0.233463035,0.021398003,0.024139767,0.022768885,0.02386559,0.023454326,4,8,761.78,110
30,428985.2876,53314660.0,124.2808589,3,0.022933911,0.0160322,0.0,9,30.06388889,2,4,3,0.340466926,0.229571984,0.011412268,0.007155114,0.009283691,0.007580829,0.008219402,4,8,748.26,111
408,403664.4137,15227808.0,37.72392979,0,0.0,0.0,0.0,2,0.0125,1,4,1,0.30155642,0.321011673,0.001426534,0.0,0.000713267,0.000142653,0.000356633,3,4,873.234375,112
171,630241.381,31454270.0,49.90829061,6,0.023198384,0.02306241,0.000126966,3,58.86666667,1,4,3,0.30155642,0.229571984,0.002853067,0.014012939,0.008433003,0.012896951,0.011222971,3,4,780.0032051,113
8,303727.3628,82964857.0,273.1556888,12,0.134552908,0.0539266,0.00069627,13,9.352884615,2,4,2,0.340466926,0.215953307,0.017118402,0.002223908,0.009671155,0.003713357,0.005947531,4,8,768.4212963,114
84,506901.9585,58209170.0,114.8331921,1,0.004106445,0.000514403,0.0,68,61.08639706,3,4,3,0.210116732,0.229571984,0.095577746,0.014541447,0.055059597,0.022645077,0.034800522,5,12,764.90625,115
41,588935.9576,129418471.0,219.7496508,5,0.00933857,0.1400034,4.21e-05,8,11.0703125,2,4,2,0.340466926,0.215953307,0.009985735,0.00263282,0.006309278,0.003368112,0.004471049,4,8,750.0375,116
294,1360157.429,6230595.301,4.580789818,6,0.04437197,0.1861283,0.000121595,1,0.0125,1,4,1,0.30155642,0.321011673,0.0,0.0,0.0,0.0,0.0,3,4,979.0661765,117
35,471728.6916,0.0,0.0,0,0.0,0.0,0.0,8,0.5734375,2,4,1,0.340466926,0.321011673,0.009985735,0.000133557,0.005059646,0.001118775,0.002596601,4,8,797.9583333,118
106,454526.5682,48599380.0,106.9230786,3,0.007404886,0.0,0.0,68,61.08639706,3,4,3,0.210116732,0.229571984,0.095577746,0.014541447,0.055059597,0.022645077,0.034800522,5,12,767.8830645,119
