Frecsuma,VolMax,Volprom,Impercepti,Insuficien,Obstrucci,Hundimient,Falta de i,Falta Bomb,Ruptura,id
9,120.0,13.34444444,8,0,1,0,0,0,0,458
2,0.0125,0.0125,2,0,0,0,0,0,0,459
4,750.0,190.50625,2,2,0,0,0,0,0,460
1,0.0125,0.0125,0,0,1,0,0,0,0,461
4,12.0,4.13125,2,1,1,0,0,0,0,462
4,0.0125,0.0125,4,0,0,0,0,0,0,463
4,30.0,14.25625,2,2,0,0,0,0,0,464
5,1.5,0.6075,3,0,2,0,0,0,0,465
11,15.0,4.165909091,6,1,4,0,0,0,0,466
4,80.0,42.503125,1,3,0,0,0,0,0,467
2,60.0,36.0,0,1,1,0,0,0,0,468
1,0.0125,0.0125,1,0,0,0,0,0,0,469
2,360.0,192.0,0,2,0,0,0,0,0,470
7,18.0,5.075,2,0,5,0,0,0,0,471
8,13.5,3.259375,6,1,1,0,0,0,0,472
3,24.0,8.008333333,2,1,0,0,0,0,0,473
12,35.0,6.023958333,7,1,4,0,0,0,0,474
8,600.0,182.7515625,1,5,0,1,1,0,0,475
1,0.0125,0.0125,1,0,0,0,0,0,0,476
6,200.0,43.34166667,4,2,0,0,0,0,0,477
3,0.0125,0.0125,3,0,0,0,0,0,0,478
19,720.0,57.55197368,3,7,7,2,0,0,0,479
4,360.0,102.00625,2,1,0,0,1,0,0,480
1,0.0125,0.0125,1,0,0,0,0,0,0,481
4,18.0,4.509375,3,0,1,0,0,0,0,482
2,48.0,47.4,0,1,1,0,0,0,0,483
8,64.0,21.13125,4,3,1,0,0,0,0,484
1,0.0125,0.0125,1,0,0,0,0,0,0,485
1,54.0,54.0,0,1,0,0,0,0,0,486
31,6000.0,622.1649194,9,19,1,1,0,1,0,487
7,270.0,49.93571429,4,2,1,0,0,0,0,488
126,400.0,17.00904762,55,21,50,0,0,0,0,489
11,84.0,18.55113636,5,2,4,0,0,0,0,490
7,0.0125,0.0125,7,0,0,0,0,0,0,491
14,400.0,51.46428571,8,5,1,0,0,0,0,492
9,108.0,23.50833333,6,3,0,0,0,0,0,493
22,36.0,6.743181818,13,4,5,0,0,0,0,494
6,0.0125,0.0125,6,0,0,0,0,0,0,495
17,360.0,43.53544118,9,4,3,1,0,0,0,496
9,1120.0,463.3333333,0,9,0,0,0,0,0,497
