name,resili_a,resili_b,resili_c,resili_d,resili_e,suscep_a,suscep_b,suscep_c,suscep_d,suscep_e,exposi,resili,suscep,vulnera,exposi_a,exposi_b,exposi_c,exposi_d,id
SAN RAFAEL TICOMAN,0.032182141520901,0.176301297665845,0.80486,0.733494109833587,0.623970978707279,0.947,0.0,0.0,0.029351344620305,0.1277,0.15,0.433,0.221,0.192,0.176,0.0,0.0,0.398,1635
JUAN DE DIOS BATIZ,0.026134911446567,0.184508594117931,0.83349,0.733494109833587,0.623970978707279,0.947,0.0,0.0,0.028385376958374,0.1031,0.182,0.441,0.216,0.202,0.185,0.008,0.0,0.501,1636
U. PROF. ADOLFO LOPEZ MATEOS,0.004687300069526,0.195367364345071,0.84295,0.733494109833587,0.623970978707279,0.947,0.0,0.0,0.00547234388369,0.2281,0.217,0.445,0.236,0.246,0.195,0.027,0.0,0.586,1637
LINDAVISTA,0.028679014124343,0.185061093500227,0.86129,0.733494109833587,0.623970978707279,0.947,0.0,0.0,0.031653756468979,0.096,0.148,0.447,0.215,0.17,0.185,0.022,0.0,0.34,1638
AMPL SANTA CRUZ,0.027034787939366,0.140249943555029,0.66694,0.733494109833587,0.623970978707279,0.947,0.0,0.0,0.004673841276495,0.0682,0.208,0.39,0.204,0.262,0.14,0.0,0.0,0.66,1639
ATZACOALCO CTM,0.027034787939366,0.140249943555029,0.66694,0.733494109833587,0.623970978707279,0.947,0.0,0.0,0.004673841276495,0.0682,0.049,0.39,0.204,0.14,0.14,0.0,0.0,0.051,1640
AMPL GABRIEL HERNANDEZ,0.027034787939366,0.140249943555029,0.66694,0.733494109833587,0.623970978707279,0.947,0.0,0.0,0.004673841276495,0.0682,0.099,0.39,0.204,0.178,0.14,0.0,0.0,0.238,1641
EL RISCO CTM,0.027034787939366,0.140249943555029,0.66694,0.733494109833587,0.623970978707279,0.947,0.0,0.0,0.004673841276495,0.0682,0.19,0.39,0.204,0.248,0.14,0.0,0.0,0.591,1642
ATZACOALCO,0.029966938449775,0.13255471329857,0.65275,0.733494109833587,0.623970978707279,0.947,0.0,0.0,0.009215247065927,0.0942,0.222,0.385,0.21,0.284,0.133,0.012,0.0,0.698,1643
25 DE JULIO,0.044418416175439,0.108715240566013,0.64146,0.733494109833587,0.516755414046189,0.947,0.0,0.0,0.14327252412148,0.0665,0.354,0.353,0.231,0.438,0.109,0.578,0.0,0.094,1644
SAN FELIPE DE JESUS,0.044418416175439,0.108715240566013,0.64146,0.733494109833587,0.516755414046189,0.947,0.0,0.0,0.14327252412148,0.0665,0.498,0.353,0.231,0.55,0.109,0.578,0.0,0.648,1645
NUEVA ATZACOALCO,0.044418416175439,0.108715240566013,0.64146,0.733494109833587,0.516755414046189,0.947,0.0,0.0,0.14327252412148,0.0665,0.421,0.353,0.231,0.49,0.109,0.578,0.0,0.353,1646
MEDITERRANE II,0.244491826673709,0.221202171918367,0.0,0.733494109833587,0.575962960503361,0.947,0.0,0.0,0.000914229901695,0.0,0.091,0.301,0.19,0.248,0.221,0.028,0.0,0.074,1647
