Población,Precipitación,"Edad infra","Índice ingreso","Falla infra","Presión mediática","Falta infra","Escasez",Hundimiento,"Enfermedades gastro","Sin drenaje","Sin agua",Encharcamientos,id
5142,739,50,0.516664293,0.25,0.0625,0.0625,0.0625,0,0.48987,0,0.2251,0.2675864211,6274
3487,751,50,0.466213789,0.125,0.0625,0.0625,0.0625,0,0.67581,0,0.9164,0.7907383146,6476
2630,742,50,0.782037167,0.5,0.0625,0.0625,0.0625,0,0.46814,0,0,0.8666004394,6298
3649,749,50,0.723718063,0.5,0.0625,0.0625,0.0625,0,3.44656,0,0,2.0971766398,6457
406,753,50,0.394482584,1,0.0625,0.0625,0.0625,1,0.3666,0,0,1.6976316114,6437
3272,732,50,0.786528898,0.5,0.0625,0.0625,0.0625,1,1.61067,0,0,2.8870572975,6471
5636,749,50,0.638673208,0.5,0.0625,0.0625,0.0625,0,3.07578,0,0,2.6303742434,6382
4389,749,50,0.604889482,0.5,0.0625,0.0625,0.0625,0,0.82396,0,0,5.6164959744,6352
2877,744,50,0.681775455,0.5,0.0625,0.0625,0.0625,1,1.41205,0,0,2.3664747467,6464
3891,748,50,0.63208562,1,0.0625,0.0625,0.0625,0,3.51977,0,0,1.1266568827,6456
8122,748,50,0.614592178,1,0.125,0.0625,0.0625,0,7.45025,0,0,1.6221909402,6454
5414,748,50,0.696203811,1,0.0625,0.0625,0.0625,1,1.42025,0,0,1.3010328801,6453
3630,749,50,0.701492307,1,0.0625,0.0625,0.0625,1,0.94903,0,0,2.9159343839,6445
3002,748,50,0.721221977,1,0.0625,0.0625,0.0625,1,0.78132,0,0,1.7412740688,6444
4752,747,50,0.67399777,1,0.125,0.125,0.0625,1,0.67149,0,0.6934,7.4825918864,6402
3877,750,50,0.562217239,0.25,0.0625,0.5,0.0625,1,3.43629,5.5959,36.5524,2.2492805165,6546
5215,743,50,0.435719968,0.125,0.0625,0.25,0.0625,0,0.91762,1.4173,12.5394,0.1705601079,6551
9,738,50,0,0.0625,0.0625,0.0625,0.0625,1,0.00128,0,100,0.0242405547,6474
5021,737,50,0.493817049,0.0625,0.0625,0.0625,0.0625,1,1.31362,0,0,0.6835492046,6512
6886,730,50,0.639597825,0.5,0.25,0.0625,0.0625,1,3.29172,0,0.1657,6.3841027604,6473
4677,750,50,0.641911475,0.5,0.125,0.0625,0.0625,1,2.67062,0,0,1.9353905299,6314
4211,747,50,0.630880548,0.5,0.125,0.0625,0.0625,1,0.77891,0.2705,0,3.8685005742,6313
